date,close
2016/10/3,118.81
2016/10/4,118.82
2016/10/5,119.18
2016/10/6,118.75
2016/10/7,119.24
2016/10/10,119.8
2016/10/11,117.64
2016/10/12,117.97
2016/10/13,118.26
2016/10/14,117.56
2016/10/17,118.49
2016/10/18,115.41
2016/10/19,114.59
2016/10/20,114.87
2016/10/21,113.44
2016/10/24,113.61
2016/10/25,113.96
2016/10/26,114.56
2016/10/27,115.7
2016/10/28,115.33
2016/10/31,115.99
2016/11/1,115.34
2016/11/2,114.86
2016/11/3,115.03
2016/11/4,115.11
2016/11/7,116.66
2016/11/8,117.05
2016/11/9,120.31
2016/11/10,119.54
2016/11/11,118.47
2016/11/14,116.6
2016/11/15,116.32
2016/11/16,116.36
2016/11/17,116.57
2016/11/18,115.36
2016/11/21,115
2016/11/22,112.74
2016/11/23,113.07
2016/11/25,114.13
2016/11/28,113.13
2016/11/29,112.48
2016/11/30,111.3
2016/12/1,111.38
2016/12/2,111.96
2016/12/5,111.94
2016/12/6,112.06
2016/12/7,111.1
2016/12/8,110.99
2016/12/9,112.26
2016/12/12,115.36
2016/12/13,115.89
2016/12/14,114.99
2016/12/15,115.89
2016/12/16,115.88
2016/12/19,116.02
2016/12/20,115.66
2016/12/21,115.31
2016/12/22,115.44
2016/12/23,115.96
2016/12/27,115.91
2016/12/28,115.1
2016/12/29,115.49
2016/12/30,115.21
2017/1/3,115.84
2017/1/4,115.65
2017/1/5,116.86
2017/1/6,116.3
2017/1/9,116.28
2017/1/10,116.16
2017/1/11,114.73
2017/1/12,114.62
2017/1/13,114.6
2017/1/17,114.87
2017/1/18,114.7
2017/1/19,114.2
2017/1/20,114.15
2017/1/23,113.91
2017/1/24,111.76
2017/1/25,112.8
2017/1/26,111.84
2017/1/27,113.38
2017/1/30,113.13
2017/1/31,113.25
2017/2/1,113.23
2017/2/2,113.57
2017/2/3,113.64
2017/2/6,113.4
2017/2/7,113.48
2017/2/8,113.4
2017/2/9,114.08
2017/2/10,115.24
2017/2/13,115.88
2017/2/14,116.36
2017/2/15,117.2
2017/2/16,118.08
2017/2/17,118.86
2017/2/21,119.66
2017/2/22,119.52
2017/2/23,121.7
2017/2/24,122.73
