date,close
2020-03-16,127.13
2020-03-17,136.59
2020-03-18,134.96
2020-03-19,127.05
2020-03-20,119.89
2020-03-23,111.14
2020-03-24,119.18
2020-03-25,119.4
2020-03-26,126.57
2020-03-27,123.16
2020-03-30,133.01
2020-03-31,131.13
2020-04-01,128.81
2020-04-02,133.15
2020-04-03,134.17
2020-04-06,139.76
2020-04-07,137.48
2020-04-08,143.26
2020-04-09,141.23
2020-04-13,139.77
2020-04-14,146.03
2020-04-15,147.66
2020-04-16,149.67
2020-04-17,152.02
2020-04-20,151.67
2020-04-21,149.68
2020-04-22,152.99
2020-04-23,155.51
2020-04-24,154.86
2020-04-27,154.29
2020-04-28,151.39
2020-04-29,150.24
2020-04-30,150.04
2020-05-01,148.29
2020-05-04,148.27
2020-05-05,149.5
2020-05-06,148.08
2020-05-07,147.59
2020-05-08,148.7
2020-05-11,149.11
2020-05-12,147.14
2020-05-13,147.13
2020-05-14,147.64
2020-05-15,150.44
2020-05-18,150.52
2020-05-19,149.02
2020-05-20,147.68
2020-05-21,146.71
2020-05-22,144.37
2020-05-26,144.56
2020-05-27,144.89
2020-05-28,146.97
2020-05-29,148.75
2020-06-01,147.19
2020-06-02,148.25
2020-06-03,148.65
2020-06-04,146.73
2020-06-05,147.3
2020-06-08,146.77
2020-06-09,145.96
2020-06-10,147.8
2020-06-11,140.87
2020-06-12,142.15
2020-06-15,141.25
2020-06-16,144.46
2020-06-17,144.02
2020-06-18,143.41
2020-06-19,143.83
2020-06-22,143.39
2020-06-23,142.86
2020-06-24,139.82
2020-06-25,139.67
2020-06-26,137.81
2020-06-29,139.04
2020-06-30,140.63
2020-07-01,140.38
2020-07-02,140.97
2020-07-06,142.98
2020-07-07,142.85
2020-07-08,143.27
2020-07-09,142.49
2020-07-10,142.37
2020-07-13,145.21
2020-07-14,147.92
2020-07-15,148.26
2020-07-16,149.25
2020-07-17,149.35
2020-07-20,149.6
2020-07-21,149.74
2020-07-22,150.01
2020-07-23,149.61
2020-07-24,148.12
2020-07-27,147.18
2020-07-28,146.83
2020-07-29,146.54
2020-07-30,146.84
2020-07-31,145.76
2020-08-03,147.35
2020-08-04,147.22
2020-08-05,148.4
2020-08-06,147.55
2020-08-07,148.6
2020-08-10,148.03
2020-08-11,146.97
2020-08-12,149.66
2020-08-13,148
2020-08-14,148.24
2020-08-17,148.99
2020-08-18,150.09
2020-08-19,150.39
2020-08-20,151.42
2020-08-21,152.76
2020-08-24,152.15
2020-08-25,152.06
2020-08-26,152.3
2020-08-27,152.98
2020-08-28,153.64
2020-08-31,153.41
2020-09-01,151.52
2020-09-02,153.83
2020-09-03,149.55
2020-09-04,148.59
2020-09-08,147.26
2020-09-09,149.7
2020-09-10,146.91
2020-09-11,147.78
2020-09-14,148.35
2020-09-15,148.89
2020-09-16,148.4
2020-09-17,147.17
2020-09-18,149.18
2020-09-21,145.1
2020-09-22,144.21
2020-09-23,144.44
2020-09-24,144.67
2020-09-25,145.66
2020-09-28,147.11
2020-09-29,147.06
2020-09-30,148.88
2020-10-01,147.32
2020-10-02,146.24
2020-10-05,148.23
2020-10-06,146.26
2020-10-07,147.88
2020-10-08,148.89
2020-10-09,150.97
2020-10-12,151.84
2020-10-13,148.36
2020-10-14,148.1
2020-10-15,147.19
2020-10-16,148.1
2020-10-19,144.32
2020-10-20,144.55
2020-10-21,143.93
2020-10-22,145.08
2020-10-23,145.24
2020-10-26,143.97
2020-10-27,143.15
2020-10-28,138.36
2020-10-29,137.19
2020-10-30,137.11
2020-11-02,138.69
2020-11-03,138.5
2020-11-04,139.4
2020-11-05,139.76
2020-11-06,142.25
2020-11-09,146.08
2020-11-10,148.28
2020-11-11,147.8
2020-11-12,148.3
2020-11-13,149.9
2020-11-16,150.85
2020-11-17,149.35
2020-11-18,147.37
2020-11-19,147.14
2020-11-20,146.36
2020-11-23,143.87
2020-11-24,143.87
2020-11-25,143.68
2020-11-27,144
2020-11-30,144.68
2020-12-01,147.45
2020-12-02,148.14
2020-12-03,149
2020-12-04,150.27
2020-12-07,148.97
2020-12-08,151.55
2020-12-09,153.1
2020-12-10,152.25
2020-12-11,152.95
2020-12-14,149.07
2020-12-15,150.57
2020-12-16,149.67
2020-12-17,153.62
2020-12-18,154.51
2020-12-21,153.02
2020-12-22,152.72
2020-12-23,151.94
2020-12-24,152.47
2020-12-28,153.19
2020-12-29,154.14
2020-12-30,156.05
2020-12-31,157.38
2021-01-04,156.5
2021-01-05,158.34
2021-01-06,159.83
2021-01-07,160.37
